"","ts_x"
"393",-0.0606424424961437
"394",-0.136163044118297
"395",-0.183228136754279
"396",-0.191698716000286
"397",-0.167421684186799
"398",-0.130122911556473
"399",-0.0545936532838837
"400",0.0417642136844384
"401",0.144832784691937
"402",0.218130760360886
"403",0.248712341926366
"404",0.220934835366004
"405",0.147102919658498
"406",0.0453044908617407
"407",-0.0653793756374869
"408",-0.176074128895541
"409",-0.235018278743615
"410",-0.258203038980824
"411",-0.226147988638087
"412",-0.149791342689834
"413",-0.0375266467247061
"414",0.0862670524829789
"415",0.187342797251102
"416",0.245460256248268
"417",0.24891124756163
"418",0.196832824842655
"419",0.104827506353498
"420",-0.00493980645299859
"421",-0.104717126129641
"422",-0.179444467402468
"423",-0.222630665162409
"424",-0.215768906484328
"425",-0.162265960559205
"426",-0.0772588174270671
"427",0.0359280345450363
"428",0.121352576789489
"429",0.176547463966821
"430",0.186030765795183
"431",0.164870591996025
"432",0.104232270646387
"433",0.0211311406430253
"434",-0.0642837231228164
"435",-0.122518051638285
"436",-0.152415123313116
"437",-0.150242047920477
"438",-0.133031876790071
"439",-0.0713892372575046
"440",-0.00294823137326821
"441",0.0611480413995825
"442",0.1042446280215
"443",0.121161468171637
"444",0.101830635664017
"445",0.0843042715751704
"446",0.048173859393636
"447",0.0117867181904224
"448",-0.0340349647296975
"449",-0.0597758670574161
"450",-0.07197113175942
"451",-0.0674223299942046
"452",-0.053578271861424
"453",-0.0401845287366537
